Symbol	Description
WMCOC	Wiluna Mining Corporation Limited.
WMG	Westmag Ltd
WMI	Wam Microcap Limited
WML	Westcoast Mining Ltd
WMLOB	WMLOB
WMLOC	WMLOC
WNB	Wellness And Beauty Solutions Limited
WNR	Wingara Ag Ltd
WNX	Wellnex Life Limited
WNXO	WNXO
WOA	Wide Open Agriculture Ltd
WOO	Wooboard Technologies Limited
WOR	WorleyParsons Ltd
WORKOA	Worleyparsons Limited
WORKOB	Worleyparsons Limited
WORKOF	Worleyparsons Limited
WORKOR	Worleyparsons Limited
WORKOS	Worleyparsons Limited
WORKOV	Worleyparsons Limited
WOT	Westpac Office Trust
WOW	Woolworths Ltd
WOWKOA	Woolworths Limited
WOWKOB	Woolworths Limited
WOWKOE	Woolworths Limited
WOWKOR	Woolworths Limited
WOWKOT	Woolworths Limited
WOWKOU	Woolworths Limited
WPR	Waypoint Reit
WQG	Wcm Global Growth Limited
WQGOA	WQGOA
WR1	Winsome Resources Limited
WRK	Warwick Resources Ltd
WRLD	Betashares Managed Risk Global Share Fund
WRM	White Rock Minerals Limited
WRMO	White Rock Minerals Limited
WSI	Weststar Industrial Limited
WSP	White Sands Petroleum Ltd
WSR	Whitestar Resources Limited
WTC	Wisetech Global Limited
WTCKOA	Wisetech Global Limited
WTCKOE	Wisetech Global Limited
WTCKOF	Wisetech Global Limited
WTCKOP	Wisetech Global Limited
WTCKOV	Wisetech Global Limited
WTL	Wt Financial Group Limited
WTN	Western Uranium Ltd
WVOL	Ishares Edge Msci World Minimum Volatility
WWG	WWG
WWI	West Wits Mining Ltd
WWIO	West Wits Mining Limited
WXHG	Spdr??s&p??world Ex-australia (hedged) Fund
WXOZ	Spdr??s&p??world Ex-australia Fund
WYX	Western Yilgarn Nl
WZR	Wisr Limited
X2M	X2m Connect Limited
X64	Ten Sixty Four Limited
XAE	
XAF	S&P/ASX All Australian 50
XAM	Xanadu Mines Limited
XAO	ASX All Ordinaries
XARO	XARO
XAT	S&P/ASX All Australian 200
XBK	
XBN	
XBT	
XBW	S&P/ASX Buy-Write Index
XDI	
XDJ	S&P/ASX 200 Consumer Discretionary
XEC	
XEJ	S&P/ASX 200 Energy
XET	
XEW	
XF1	Xref Limited
XFJ	S&P/ASX 200 Financials
XFL	S&P/ASX 50
XGD	S&P/ASX All Ordinaries Gold
XHJ	S&P/ASX 200 Health Care
XIJ	S&P/ASX 200 Information Technology
XIN	
XJO	S&P/ASX 200
XJOBOB	XJOBOB
XJOBOE	XJOBOE
XJOKOA	XJOKOA
XJOKOC	XJOKOC
XJOKOD	XJOKOD
XJOKOE	XJOKOE
XJOKOF	XJOKOF
XJOKOJ	XJOKOJ
XJOKOO	XJOKOO
XJOKOQ	XJOKOQ
XJOKOR	XJOKOR
XJOKOT	XJOKOT
XJOKOU	XJOKOU
XJOKOV	XJOKOV
XJOKOW	XJOKOW
XJOKOX	XJOKOX
XJOKOY	XJOKOY
XJOKOZ	XJOKOZ
XJOLOH	XJOLOH
XJOMOG	XJOMOG
XJOMON	XJOMON
XJOMOU	XJOMOU
XJOQOB	XJOQOB
XJOQOD	XJOQOD
XJOQOF	XJOQOF
XJOQOG	XJOQOG
XJOQOI	XJOQOI
XJOTOB	XJOTOB
XJOTOC	XJOTOC
XJOTOD	XJOTOD
XJOTOE	XJOTOE
XJOTOF	XJOTOF
XJOTOG	XJOTOG
XJOTOI	XJOTOI
XJOTOK	XJOTOK
XJOTOL	XJOTOL
XJOTOM	XJOTOM
XJOTON	XJOTON
XJOTOO	XJOTOO
XJOUOA	XJOUOA
XJOUOB	XJOUOB
XJOUOC	XJOUOC
XJOUOD	XJOUOD
XJOUOE	XJOUOE
XJOUOF	XJOUOF
XJOUOG	XJOUOG
XJOUOH	XJOUOH
XJOUOI	XJOUOI
XJOUOJ	XJOUOJ
XJOUOK	XJOUOK
XJOUOL	XJOUOL
XJOUOM	XJOUOM
XJOUON	XJOUON
XJOUOO	XJOUOO
XJR	
XJT	
XKO	S&P/ASX 300
XLD	
XMD	S&P/ASX Midcap 50
XMJ	S&P/ASX 200 Materials
XMM	S&P/ASX 300 Metals And Mining
XNJ	S&P/ASX 200 Industrials
XNT	
XNV	
XPJ	S&P/ASX 200 Property Trusts
XPN	Xpon Technologies Group Limited
XRE	S&P/ASX 200 Real Estate
XRF	XRF Scientific Ltd
XRG	Xreality Group Ltd
XRO	Xero Limited
XROKOD	Xero Limited
XROKOQ	Xero Limited
XROKOR	XROKOR
XSJ	S&P/ASX 200 Consumer Staples
XSO	S&P/ASX Small Ordinaries
XST	Xstate Resources Ltd
XSY	
XTC	Xantippe Resources Limited
XTCO	XTCO
XTE	ASX Telecommunications
XTJ	S&P/ASX 200 Telecommunication Services
XTL	S&P/ASX 20
XTO	S&P/ASX 100
XUJ	S&P/ASX 200 Utilities
XVI	
XXJ	S&P/ASX 200 Financials x Property Trusts
YAL	Yancoal Australia Limited
YANK	Betashares Strong U.s. Dollar
YBR	Yellow Brick Road Holdings Limited
YMAX	Betashares Australian Top 20 Equity Yield Maximise
YOJ	Yojee Limited
YOW	Yowie Group Ltd
YPB	Ypb Group Ltd
YPBO	Ypb Group Ltd
YRL	Yandal Resources Limited
YTMALD	YTMALD
YTMAP1	YTMAP1
YTMAS2	YTMAS2
YTMF15	YTMF15
YTMF16	YTMF16
YTMGP1	YTMGP1
YTMMG2	YTMMG2
YTMMQ1	YTMMQ1
YTMORG	YTMORG
YTMQF4	YTMQF4
YTMTL1	YTMTL1
YTMTL2	YTMTL2
Z2U	Zoom2u Technologies Limited
ZAG	Zuleika Gold Limited
ZAGO	ZAGO
ZCLKOA	ZCLKOA
ZCLKOE	ZCLKOE
ZCLKOF	ZCLKOF
ZCLKOG	ZCLKOG
ZCLKOY	ZCLKOY
ZEO	Zeotech Limited
ZER	Zeta Resources Limited
ZEU	Zeus Resources Limited
ZGCKOA	ZGCKOA
ZGCKOB	ZGCKOB
ZGCKOC	ZGCKOC
ZGCKOD	ZGCKOD
ZGCKOF	ZGCKOF
ZGCKOH	ZGCKOH
ZGCKOJ	ZGCKOJ
ZGCKOK	ZGCKOK
ZGCKOP	ZGCKOP
ZGCKOQ	ZGCKOQ
ZGCKOS	ZGCKOS
ZGCKOU	ZGCKOU
ZGCKOW	ZGCKOW
ZGL	Zicom Group Ltd
ZHGKOA	ZHGKOA
ZHGKOB	ZHGKOB
ZHGKOC	ZHGKOC
ZHGKOD	ZHGKOD
ZHGKOE	ZHGKOE
ZHGKOF	ZHGKOF
ZHGKOP	ZHGKOP
ZHGKOQ	ZHGKOQ
ZHGKOR	ZHGKOR
ZHGKOS	ZHGKOS
ZHGKOT	ZHGKOT
ZHGKOX	ZHGKOX
ZIM	Zimbabwe Platinum Mines Ltd
ZIP	Ziptel Limited
ZIPKOG	Zip Co Limited..
ZLD	Zelda Therapeutics Limited
ZMI	Zinc Of Ireland Nl
ZMM	Zimi Limited
ZNC	Zinc Co Australia Ltd
ZNO	Zoono Group Limited
ZOZI	Anz Etfs S&p/asx 100
ZSIKOC	ZSIKOC
ZSIKOF	ZSIKOF
ZSIKOI	ZSIKOI
ZSIKOJ	ZSIKOJ
ZSIKOK	ZSIKOK
ZSIKOL	ZSIKOL
ZSIKOQ	ZSIKOQ
ZSIKOR	ZSIKOR
ZSIKOT	ZSIKOT
ZSIKOU	ZSIKOU
ZSIKOV	ZSIKOV
ZUSD	Anz Etfs Physical Us Dollar
ZYAU	Anz Etfs S&p/asx 300 High Yield Plus
ZYUS	Anz Etfs S&p 500 High Yield Low Volatility
