Symbol	Description
BOQKOB	Bank Of Queensland Limited.
BOQKOP	Bank Of Queensland Limited.
BOQKOR	Bank Of Queensland Limited.
BOQKOS	Bank Of Queensland Limited.
BOQPE	Bank Of Queensland Limited.
BOQPF	BOQPF
BOT	Botanix Pharmaceuticals Ltd
BPH	BioPharmica Ltd
BPHOA	BPHOA
BPM	Bpm Minerals Limited
BPMO	BPMO
BPMOA	Bpm Minerals Limited
BPP	Babylon Pump & Power Limited
BPT	Beach Petroleum Ltd
BPTKOA	Beach Energy Limited
BPTKOD	Beach Energy Limited
BPTKOE	Beach Energy Limited
BPTKOP	Beach Energy Limited
BPTKOR	Beach Energy Limited
BRB	Breaker Resources Nl
BRG	Breville Group Ltd
BRGKOB	Breville Group Limited
BRI	Breakwater Island Trust
BRK	BreakFree Ltd
BRL	Brl Hardy
BRN	Brainchip Holdings Ltd
BRU	Buru Energy Ltd
BRV	Big River Gold Ltd
BRX	Belararox Limited
BRXO	Belararox Limited
BSA	Broadcast Services Australia Ltd
BSAO	Bsa Limited
BSE	BSE
BSL	BlueScope Steel Ltd
BSLKOE	Bluescope Steel Limited
BSLKOT	Bluescope Steel Limited
BSLKOU	Bluescope Steel Limited
BST	Barrack St Investments Limited
BSX	Blackstone Minerals Limited
BTC	BioTech Capital Ltd
BTE	BT Australian Equity Management
BTH	Bigtincan Holdings Limited
BTI	Bailador Technology Investments Limited
BTN	Brighton Mining Group Limited
BTR	Blackthorn Resources Ltd
BUB	Bubs Australia Limited
BUD	Buddy Platform Ltd
BUDOA	BUDOA
BUR	Burleson Energy Ltd
BUX	Buxton Resources Ltd
BUY	Bounty Oil & Gas NL
BVR	Bellavista Resources Ltd
BVS	Bravura Solutions Limited.
BWF	Blackwall Property Funds Limited
BWP	Bunnings Warehouse Property Trust
BWX	Bwx Limited
BXB	Brambles Ltd
BXBKOA	Brambles Limited
BXBKOB	Brambles Limited
BXBKOC	Brambles Limited
BXBKOP	Brambles Limited
BXBKOS	Brambles Limited
BXN	Bioxyne Limited
BYE	Byron Energy Limited
BYH	Bryah Resources Limited
BYHOA	BYHOA
BYI	Beyond International Ltd
C1X	Cosmos Exploration Limited
C29	C29 Metals Limited
C2FHA	C2FHA
C6C	Copper Mountain Mining Corporation
C79	Chrysos Corporation Limited
CAA	Capral Aluminium Ltd
CAD	Caeneus Minerals Ltd
CADOA	CADOA
CAE	Cannindah Resources Limited
CAF	Centrepoint Alliance Ltd
CAG	Cape Range Wireless Ltd
CAI	Casinos Austria International
CAJ	Capitol Health Ltd
CAM	Clime Capital Ltd
CAMG	Clime Capital Limited
CAN	Cann Group Limited
CAQ	Cell Aquaculture Ltd
CAR	Carsales.com Limited.
CARKOA	Carsales.com Limited.
CARKOB	Carsales.com Limited.
CARKOF	Carsales.com Limited.
CARKOP	Carsales.com Limited.
CARKOQ	Carsales.com Limited.
CAT	Catuity Inc (USA)
CAU	CollTech Australia Ltd
CAV	Carnavale Resources Ltd
CAY	Canyon Resources Ltd
CAZ	Cazaly Resources Ltd
CBA	Commonwealth Bank Ltd
CBAKOC	Commonwealth Bank Of Australia.
CBAKOD	Commonwealth Bank Of Australia.
CBAKOP	Commonwealth Bank Of Australia.
CBAKOQ	Commonwealth Bank Of Australia.
CBAKOR	Commonwealth Bank Of Australia.
CBAKOT	Commonwealth Bank Of Australia.
CBAKOU	Commonwealth Bank Of Australia.
CBAKOW	Commonwealth Bank Of Australia.
CBAKOX	Commonwealth Bank Of Australia.
CBAMOA	Commonwealth Bank Of Australia.
CBAMOB	Commonwealth Bank Of Australia.
CBAMOP	Commonwealth Bank Of Australia.
CBAMOQ	Commonwealth Bank Of Australia.
CBAPD	Commonwealth Bank Of Australia.
CBAPG	Commonwealth Bank Of Australia.
CBAPH	Commonwealth Bank Of Australia.
CBAPI	Commonwealth Bank Of Australia.
CBAPJ	CBAPJ
CBAPK	CBAPK
CBE	Cobre Limited
CBH	CBH Resources Ltd
CBL	Cbl Corporation Limited
CBO	Cobra Resources Nl
CBR	Constellation Brands Inc (US nCHESS)
CBY	Canterbury Resources Limited
CCA	Chimpchange Limited
CCE	Clinical Cell Culture Ltd
CCG	Commschoice Group Limited
CCP	Credit Corp Group Ltd
CCPKOA	Credit Corp Group Limited
CCPKOB	Credit Corp Group Limited
CCPKOD	Credit Corp Group Limited
CCR	Credit Clear Limited
CCV	Cash Converters International Ltd
CCX	City Chic Collective Limited
CCXKOB	City Chic Collective Limited
CCXKOC	City Chic Collective Limited
CCZ	Castillo Copper Limited
CCZO	CCZO
CCZOA	CCZOA
CD1	Cordish Dixon Private Equity Fund I
CD2	Cordish Dixon Private Equity Fund Ii
CD3	Cordish Dixon Private Equity Fund Iii
CDA	Codan Ltd
CDD	Cardno Ltd
CDM	Cadence Capital Ltd
CDO	Colorado Group Ltd
CDP	Carindale Property Trust
CDR	Commander Communications Ltd
CDT	Castle Minerals Ltd
CDTO	CDTO
CDTOA	CDTOA
CDX	CDS Technologies Ltd
CE1	Calima Energy Limited
CEL	CEL
CEN	Central Australian Phosphate Limited
CETF	Vaneck Vectors Chinaamc A-share?
CF1	Complii Fintech Solutions Ltd
CFO	Cfoam Limited
CG1	Carbonxt Group Limited
CG1O	CG1O
CGA	Contango Asset Management Limited
CGB	Cann Global Limited
CGC	Consolidated Gaming Corporation
CGCKOA	Costa Group Holdings Limited
CGCKOP	Costa Group Holdings Limited
CGCKOQ	Costa Group Holdings Limited
CGCKOR	Costa Group Holdings Limited
CGF	Challenger Financial Services Group
CGFKOB	Challenger Limited
CGFKOC	Challenger Limited
CGFKOF	Challenger Limited
CGFKOP	Challenger Limited
CGFKOR	Challenger Limited
CGFKOS	Challenger Limited
CGFPB	Challenger Limited
CGFPC	CGFPC
CGN	Crater Gold Mining Limited
CGO	CPT Global Ltd
CGS	Cogstate Ltd
CHC	Charter Hall Group
CHCKOG	Charter Hall Group
CHCKOQ	Charter Hall Group
CHCKOS	CHCKOS
CHCKOT	Charter Hall Group
CHK	Cohiba Minerals Limited
CHL	CCI Holdings Ltd
CHM	Chameleon Mining NL
CHMO	CHMO
CHN	Chalice Gold Mines Ltd
CHNKOC	Chalice Mining Limited
CHNKOP	CHNKOP
CHR	Chalmers Ltd
CHZ	Chesser Resources Ltd
CI1	Credit Intelligence Ltd
CIA	Champion Iron Limited
CIAKOB	CIAKOB
CIAKOC	CIAKOC
CII	CI Resources Ltd
CIN	Carlton Investments Ltd
CINPA	Carlton Investments PA
CIO	Connected Io Limited
CIP	Centuria Industrial Reit
CIW	Clime Investment Management Ltd
CKA	Cokal Limited
CKF	Collins Foods Limited
CKFKOA	Collins Foods Limited
CL8	Collaborate Corporation Limited
CL8OB	CL8OB
CLA	Celsius Coal Limited
CLAO	Celsius Resources Limited
CLB	Creatable Media Ltd
CLBO	Candy Club Holdings Limited
CLE	Clearwater Group Ltd
CLG	Close The Loop Ltd.
CLH	Collection House Ltd
CLT	Cellnet Group Ltd
CLU	Cloncurry Metals Ltd
CLV	Clover Corporation Ltd
CLW	Charter Hall Long Wale Reit
CLX	CTI Logistics Ltd
CLZ	Classic Minerals Ltd
CLZOA	CLZOA
CM8	Crowd Mobile Limited
CMD	Cassius Mining Limited
CML	Coles Myer Ltd
CMM	Capricorn Metals Ltd
CMO	CommodiTel Ltd
CMP	Compumedics Ltd
CMW	Cromwell Corporation Ltd
CMWKOA	Cromwell Property Group
CMWKOB	Cromwell Property Group
CMWKOC	Cromwell Property Group
CMX	Climax Mining Ltd
CMXO	Chemx Materials Limited
CNB	Canberra Investment Corporation Ltd
CNEW	Vaneck Vectors China New Economy
CNI	Centuria Capital Limited
CNJ	Conico Ltd
CNJO	Conico Ltd
CNQ	Carbine Tungsten Limited
CNR	Coonawarra Australia Property Trust
CNU	Chorus Limited
CNW	Cirrus Networks Holdings Limited
COB	Cobalt Blue Holdings Limited
COD	Cossack Energy Limited
COE	Cooper Energy Ltd
COEKOA	Cooper Energy Limited
COF	Coffey International Ltd
COG	Consolidated Operations Group Limited
COH	Cochlear Ltd
COHKOG	Cochlear Limited
COHKOP	Cochlear Limited
COHKOR	Cochlear Limited
COI	Comet Ridge Ltd
COL	Coles Group Limited.
COLKOA	Coles Group Limited.
COLKOC	Coles Group Limited.
COLKOD	Coles Group Limited.
COLKOE	COLKOE
COLKOF	COLKOF
COO	Cosmos Ltd
CORE	Etfs Morningstar Global Technology
COS	Cool or Cosy Ltd
COY	Coppermoly Ltd
CPH	CPH Investment corp
CPHO	Creso Pharma Limited
CPHOA	CPHOA
CPM	Cooper Metals Limited
CPN	Carpathian Resources Ltd
CPO	Culpeo Minerals Limited
CPT	Capital Intelligence Ltd
CPTO	CPTO
CPU	Computershare Ltd
CPUKOA	Computershare Limited.
CPUKOB	Computershare Limited.
CPUKOD	Computershare Limited.
CPUKOP	Computershare Limited.
CPUKOQ	Computershare Limited.
CPUKOS	Computershare Limited.
CPV	Clearvue Technologies Limited
CQE	Charter Hall Education Trust
CQR	Charter Hall Retail Reit
CR1	Constellation Resources Limited
CR9	Corella Resources Ltd
CRB	Carbine Resources Ltd
CRED	Betashares Australian Investment Grade Corporate B
CRL	Comet Resources Ltd
CRM	Carbon Minerals NL (CRMCA)
CRN	Coronado Global Resources Inc.
CRR	Convenience Retail Reit
CRS	Croesus Mining NL
CRYP	CRYP
CSE	Copper Strike Ltd
CSF	Centro Shopping American Trust
CSL	CSL Ltd
CSLKOA	Csl Limited
CSLKOB	Csl Limited
CSLKOC	Csl Limited
CSLKOF	Csl Limited
CSLKOG	Csl Limited
CSLKOI	Csl Limited
CSLKOP	Csl Limited
CSLKOV	Csl Limited
CSLKOW	Csl Limited
CSLKOX	Csl Limited
CSLMOT	Csl Limited
CSR	CSR Ltd
CSRKOD	Csr Limited
CSRKOQ	Csr Limited
CSRKOR	Csr Limited
CSS	Clean Seas Tuna Ltd
CST	Cellestis Ltd
CSX	Cleanspace Holdings Limited
CT1	Ccp Technologies Limited
